postalcode,work_location,employee_count
B2G 0E2,"Brudenell Admin Office",1
B2X 2T5,"Provincial Admin Building",1
B3L 3B4,"Sherwood Business Centre",1
B4P 0C5,"Holman Building (Ch'town)",1
B4V 2S1,"Red Road Homes",1
C0A 0H9,"Ch'Town Government Garage",1
C0A 1A0,"185 Beach Grove Road",1
C0A 1A0,"40 Enman Crescent",1
C0A 1A0,"40A Burns Ave.",1
C0A 1A0,"Borden Scale House",1
C0A 1A0,"Brudenell Admin Office",1
C0A 1A0,"Brudenell Golf",1
C0A 1A0,"Ch'Town Government Garage",3
C0A 1A0,"Coles Building",1
C0A 1A0,"Frank Gaudet Nursery",1
C0A 1A0,"Georgetown Government Garage",1
C0A 1A0,"J. Angus MacLean Bldg",1
C0A 1A0,"Montague Cannabis Store",2
C0A 1A0,"Northumberland Park",1
C0A 1A0,"Orwell Corner Museum",1
C0A 1A0,"PEI Medicare Office",2
C0A 1A0,"Provincial Admin Building",11
C0A 1A0,"Provincial Correctional Centre",3
C0A 1A0,"Southern Kings & Queens RSC",1
C0A 1A0,"Stratford Liquor Store",1
C0A 1B0,"40B Burns Ave.",1
C0A 1B0,"Brudenell Admin Office",2
C0A 1B0,"Ch'Town Government Garage",9
C0A 1B0,"Coles Building",1
C0A 1B0,"Dundarave",1
C0A 1B0,"Frank Gaudet Nursery",1
C0A 1B0,"Georgetown Government Garage",3
C0A 1B0,"Montague Cannabis Store",1
C0A 1B0,"Northumberland Park",4
C0A 1B0,"Orwell Corner Museum",1
C0A 1B0,"Pamure Island Park",2
C0A 1B0,"Potato Service Building",1
C0A 1B0,"Provincial Admin Building",2
C0A 1B0,"Sherwood Business Centre",1
C0A 1B0,"VisitorInfo.Centre WoodIslands",1
C0A 1C0,"40B Burns Ave.",1
C0A 1C0,"Argyle Shore Park",1
C0A 1C0,"Borden Visitor Information Cen",1
C0A 1C0,"Brookvale Ski Resort",1
C0A 1C0,"Child & Family  Services",1
C0A 1C0,"Ch'Town Government Garage",4
C0A 1C0,"Elmer Blanchard Building",1
C0A 1C0,"Frank Gaudet Nursery",1
C0A 1C0,"Government House",1
C0A 1C0,"Holman Building (Ch'town)",1
C0A 1C0,"Holman Centre (Summerside)",1
C0A 1C0,"J. Angus MacLean Bldg",1
C0A 1C0,"Liquor Control Commission",1
C0A 1C0,"Provincial Admin Building",16
C0A 1C0,"Red Road Homes",1
C0A 1C0,"Sherwood Business Centre",1
C0A 1C0,"Stratgartney Park",1
C0A 1C0,"West Royalty Industrial Park",1
C0A 1E0,"Access PEI - Summerside",1
C0A 1E0,"Ch'Town Government Garage",4
C0A 1E0,"Coles Building",1
C0A 1E0,"Customs House",1
C0A 1E0,"Eptek/Wyatt Centre",1
C0A 1E0,"Frank Gaudet Nursery",1
